media_id,time,media_player_time,frame,total_time,video_search_time,audio_search_time,vote_time,preprocess_time,input
video10,152,0.18138424821002386,4560,3.9027059078216553,0,0.008329629898071289,0.006356716156005859,3.888019561767578,video10_152
video10,386,0.4606205250596659,11580,0.5780529975891113,0,0.005564212799072266,0.00638127326965332,0.5661075115203857,video10_386
video10,406,0.48448687350835323,12180,0.5037875175476074,0,0.006988525390625,0.0068776607513427734,0.48992133140563965,video10_406
video10,475,0.5668257756563246,14250,0.5335135459899902,0,0.005574703216552734,0.005977153778076172,0.5219616889953613,video10_475
video10,477,0.5692124105011933,14310,0.5629115104675293,0,0.006159305572509766,0.005274295806884766,0.5514779090881348,video10_477
video11,194,0.3362218370883882,5820,0.541985034942627,0,0.006405830383300781,0.009002447128295898,0.5265767574310303,video11_194
video11,412,0.7140381282495667,12360,0.5827481746673584,0,0.004998683929443359,0.007994890213012695,0.5697546005249023,video11_412
video11,494,0.8561525129982669,14820,0.5158584117889404,0,0.005486249923706055,0.0052831172943115234,0.5050890445709229,video11_494
video11,546,0.9462738301559792,16380,0.5107965469360352,0,0.007159233093261719,0.0064296722412109375,0.4972076416015625,video11_546
video11,566,0.9809358752166378,16980,0.4822540283203125,0,0.006304025650024414,0.007997512817382812,0.4679524898529053,video11_566
video12,17,0.029259896729776247,510,0.5181341171264648,0,0.006006717681884766,0.008482694625854492,0.5036447048187256,video12_17
video12,269,0.4629948364888124,8070,0.509394645690918,0,0.005864858627319336,0.006927490234375,0.49660229682922363,video12_269
video12,30,0.05163511187607573,900,0.49528050422668457,0,0.00635981559753418,0.006337642669677734,0.48258304595947266,video12_30
video12,355,0.6110154905335629,10650,0.5076096057891846,0,0.006144046783447266,0.00640106201171875,0.49506449699401855,video12_355
video12,471,0.810671256454389,14130,0.5751161575317383,0,0.0062716007232666016,0.007885217666625977,0.5609593391418457,video12_471
video13,109,0.13276492082825822,3270,0.5189359188079834,0,0.005748748779296875,0.009000539779663086,0.5041866302490234,video13_109
video13,131,0.15956151035322777,3930,0.4863002300262451,0,0.006219387054443359,0.006323575973510742,0.473757266998291,video13_131
video13,233,0.2838002436053593,6990,0.4920167922973633,0,0.006176471710205078,0.00577855110168457,0.48006176948547363,video13_233
video13,309,0.3763702801461632,9270,0.48636889457702637,0,0.006625175476074219,0.005853176116943359,0.4738905429840088,video13_309
video13,451,0.5493300852618758,13530,0.5222833156585693,0,0.00690150260925293,0.00524449348449707,0.5101373195648193,video13_451
video14,103,0.15725190839694655,3090,0.5192461013793945,0,0.005219459533691406,0.008001089096069336,0.5060255527496338,video14_103
video14,128,0.19541984732824427,3840,0.535771369934082,0,0.00663447380065918,0.007027387619018555,0.5221095085144043,video14_128
video14,157,0.23969465648854962,4710,0.5119807720184326,0,0.0052754878997802734,0.005817890167236328,0.500887393951416,video14_157
video14,241,0.36793893129770994,7230,0.5456562042236328,0,0.005998849868774414,0.005998134613037109,0.5336592197418213,video14_241
video14,291,0.4442748091603053,8730,0.5316321849822998,0,0.005657672882080078,0.006930351257324219,0.5190441608428955,video14_291
video15,354,0.5388127853881278,10620,0.571627140045166,0,0.006676197052001953,0.00796055793762207,0.556990385055542,video15_354
video15,420,0.639269406392694,12600,0.5453734397888184,0,0.005430936813354492,0.007997274398803711,0.5319452285766602,video15_420
video15,445,0.6773211567732116,13350,0.5063226222991943,0,0.0061566829681396484,0.007649421691894531,0.49251651763916016,video15_445
video15,514,0.7823439878234398,15420,0.5399110317230225,0,0.0059893131256103516,0.005000591278076172,0.5289211273193359,video15_514
video15,68,0.1035007610350076,2040,0.5338873863220215,0,0.0055806636810302734,0.010061025619506836,0.5182456970214844,video15_68
video16,334,0.41854636591478694,10020,0.5381565093994141,0,0.005790233612060547,0.005997896194458008,0.5263683795928955,video16_334
video16,391,0.4899749373433584,11730,0.5014305114746094,0,0.005395650863647461,0.005999326705932617,0.4900355339050293,video16_391
video16,474,0.5939849624060151,14220,0.5086102485656738,0,0.005719661712646484,0.00529170036315918,0.49759888648986816,video16_474
video16,555,0.6954887218045113,16650,0.5235655307769775,0,0.00590968132019043,0.008605480194091797,0.5090503692626953,video16_555
video16,569,0.7130325814536341,17070,0.49695467948913574,0,0.007029056549072266,0.008950233459472656,0.4809753894805908,video16_569
video17,286,0.5335820895522388,8580,0.5366048812866211,0,0.005995750427246094,0.004998683929443359,0.5256104469299316,video17_286
video17,323,0.6026119402985075,9690,0.5145866870880127,0,0.006158113479614258,0.004727840423583984,0.5037007331848145,video17_323
video17,360,0.6716417910447762,10800,0.5008049011230469,0,0.005856513977050781,0.005833864212036133,0.48911452293395996,video17_360
video17,461,0.8600746268656716,13830,0.5192317962646484,0,0.005999326705932617,0.006999015808105469,0.5062334537506104,video17_461
video18,131,0.15956151035322777,3930,0.5001673698425293,0,0.004997968673706055,0.007169485092163086,0.48799991607666016,video18_131
video18,265,0.3227771010962241,7950,0.5059974193572998,0,0.00500035285949707,0.005998134613037109,0.4949989318847656,video18_265
video18,271,0.33008526187576126,8130,0.5142266750335693,0,0.006257772445678711,0.006901979446411133,0.5010669231414795,video18_271
video18,38,0.04628501827040195,1140,0.5464522838592529,0,0.010300636291503906,0.007104158401489258,0.5290474891662598,video18_38
video18,47,0.057247259439707675,1410,0.5580360889434814,0,0.006006717681884766,0.007997512817382812,0.5440318584442139,video18_47
video19,143,0.29606625258799174,4290,0.5734491348266602,0,0.00947260856628418,0.007999181747436523,0.5559773445129395,video19_143
video19,260,0.5383022774327122,7800,0.6778135299682617,0,0.008517742156982422,0.0069234371185302734,0.662372350692749,video19_260
video19,415,0.8592132505175983,12450,0.6754171848297119,0,0.007001161575317383,0.009003162384033203,0.6594128608703613,video19_415
